sku,name,brand,price,color,frame,material,measure,sunglasses,woman
AR7178.L5042.L152.L,AR7178.L5042.L152.L,Armani,201,nero,pilot,acetato,52/19/145,false,false
AR7178.L5089.L152.L,AR7178.L5089.L152.L,Armani,201,havana,pilot,acetato,52-19-145,false,false
AR7194.L5848.L151.L,AR7194.L5848.L151.L,Armani,201,havana,rettangolare,acetato,51/22/145,false,false
AR5103J.L3006.L151.L,AR5103J.L3006.L151.L,Armani,241,oro opaco,ovale,metallo,51/21/145,false,false
AR5107.L3001.L151.L,AR5107.L3001.L151.L,Armani,241,grigio,esagonale,metallo,51/20/145,false,false
AR5111J.L3003.L150.L,AR5111J.L3003.L150.L,Armani,241,oro,squadrata,metallo,54/17/140,false,false
AR5111J.L3002.L150.L,AR5111J.L3002.L150.L,Armani,261,oro,squadrata,metallo,54/17/140,false,false
AR5111J.L3332.L150.L,AR5111J.L3332.L150.L,Armani,261,oro,squadrata,metallo,54/17/140,false,false
AR7198.L5762.L151.L,AR7198.L5762.L151.L,Armani,261,havana,panthos,bio acetato,48/22/145,false,false
AR7198.L5001.L149.L,AR7198.L5001.L149.L,Armani,261,nero,squadrata,acetato,51/18/140,false,false
AR309M.L5001.L149.L,AR309M.L5001.L149.L,Armani,241,nero,rotonda,acetato,49/21/145,false,false
AR5112J.L3001.L153.L,AR5112J.L3001.L153.L,Armani,261,nero,squadrata,acciaio,53/18/145,false,false
